"","score","text","review"
"58",0,"RT @SandipGhose: ""Vendetta nahin Mandate-ta"" - why @narendramodi now needs to go full steam against scamsters to discharge his mandate to t…","neutral"
"59",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"60",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"61",-3,"The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to… https://t.co/23yi4aLYbe","negative"
"62",-2,"RT @mshiteshmohan: #<U+0926><U+0926><U+094D><U+0926><U+093E><U+091C><U+0940><U+0915><U+0939><U+093F><U+0928> :
Is this not a notorious display of half truth to malign BJP? Law firm was retained 4 representing #proper…","negative"
"63",0,"In a major decision, #RBI today banned banks from issuing Letters of Undertaking (LoUs) following the #PNBScam.

https://t.co/T1U1gdq0AI","neutral"
"64",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | WATCH https://t.co/G3oHy1oduS","neutral"
"65",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | WATCH https://t.co/G3oHy1oduS","neutral"
"66",0,"RT @_itswish: #NiravModi has sent mail to #PNB
#PNBFraudCase 
#PNBScam https://t.co/7Twu0qTNXj","neutral"
"67",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"68",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"69",-2,"RT @indiacharts: “PSU Banks Are A Train Wreck In Slow Motion” a Year of charts here https://t.co/e2WBMLDZ5J #PNBScam #PSU #psubanks #Public…","negative"
"70",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"71",-1,"@HardikPatel_ Majbuti se nahi rakha
#PNBScam #RafaleScamExposed #vyapam scam #sirjanscam #SSCExamScam #LalitModi… https://t.co/YGyuNudLZk","negative"
"72",0,"RT @Im_ASIF007: What's Happening in DIGITAL INDIA... #DigitalIndia #PNBScam #sscscam #SSCExamScam #India #RRBC #PiyushGoyal #pmoindia #rail…","neutral"
"73",0,"RT @ANI: It's all happening in one sector-Jewelry. Key players seem to have come from one state-Gujarat. It's not happening across sectors…","neutral"
"74",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"75",-2,"Sell Greed, Buy Fear and with PSU Banks, there is a lot of fear right now <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#pnbscam #psubanks https://t.co/zqsEPXpjeJ","negative"
"76",-1,"RT @ETNOWlive: #ETNOWExplainer | Rs 12,600 cr #PNBScam has pushed @RBI to take firm action to avoid a repeat of the fiasco as it today bann…","negative"
"77",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
